userId,movieId,rating,timestamp
12,759,5.0,943911542
24,1979,2.0,979972447
30,1250,5.0,976916140
34,1250,5.0,1498762448
46,1771,2.0,979331419
47,1250,4.0,970512068
49,1250,4.0,1149444975
51,1250,5.0,1218161521
56,1250,3.5,1410106035
61,1250,3.5,1071875870
65,1250,3.0,939600859
67,2080,3.5,1296082258
74,558,3.0,862778877
82,1726,5.0,1460241603
89,2080,5.0,945182497
104,1250,2.5,1112399884
120,2080,2.0,1211772456
122,2080,5.0,1321855551
125,1250,4.5,1128537252
129,1250,5.0,993336374
132,1927,3.0,962919773
144,2080,3.5,1244628521
145,558,3.0,978409045
150,1726,2.0,945841590
150,1979,2.0,945151229
151,1250,3.0,1081453577
151,1979,1.0,1081732070
153,1250,4.5,1088940475
153,1979,3.0,1088941339
171,2080,4.0,1266890417
174,949,4.0,956976196
174,1250,5.0,956976675
219,1250,2.0,1134843918
226,1250,4.0,976203176
229,1250,5.0,1041298940
229,1927,5.0,1037820031
229,2080,4.0,1039632817
231,1250,3.0,1177664207
231,1726,3.0,1177663357
235,1250,4.0,1119984830
251,1250,3.5,1054832022
259,1250,2.5,1170203274
277,1979,5.0,974953054
296,1250,4.0,1111987195
321,1927,2.5,1181449870
321,2080,3.5,1181447060
332,2080,3.5,1310569735
346,949,4.0,967123280
346,1979,1.0,1036330075
348,1250,4.0,1295034642
348,2080,4.0,1295633203
354,2080,4.0,1017730643
362,949,4.0,938485963
368,2080,3.0,1153066959
384,949,4.0,963100261
390,2080,4.0,975270003
398,1250,4.0,1091537659
415,2080,4.0,978556129
429,1250,3.0,1415773589
429,1726,2.0,1415622051
429,1927,3.5,1415621870
445,558,3.0,994975220
445,2080,4.0,994974776
451,1250,4.0,1007692106
451,2080,4.0,1007692541
463,949,2.0,945243758
463,1250,5.0,945243887
468,558,4.5,1249942833
468,2080,3.0,1250205249
469,1250,4.0,999491719
469,2080,3.0,999491084
474,1250,4.0,947644771
483,1250,3.5,1095778030
483,1726,0.5,1096907750
483,2080,4.0,1095949160
506,2080,3.5,1263497412
523,949,4.0,902945637
523,1250,5.0,902945609
533,1726,2.0,974651274
533,2080,4.0,974647643
543,1250,5.0,943783353
543,1927,5.0,943783550
557,949,4.0,978740992
567,1726,2.0,1490189822
580,1979,0.5,1111958763
581,2080,3.0,1286633923
584,2080,4.0,1286348878
602,1250,4.0,1194669883
604,1250,4.5,1258507090
606,1250,5.0,1027092058
609,949,5.0,1325462284
611,759,4.0,938956074
611,1250,4.0,995771072
